기사 제목,신문사,발행 날짜,본문 내용
"남제주군, 풍력발전소 반대집회",제주일보,2006.06.12.,"
			성산읍난산리와 표선면성읍리 지역주민들이 난산리 일대에 들어설 풍력발전소 건설에 반대하며 지난 10일 제주시내 일대에서 반대집회를 열었다.지역주민들은 ‘제주난산풍력발전단지 반대 대책위원회'를 구성하고 발전소 업체인 (주)유니슨측에 사업중단과 함께 재선정을 요구했다.대책위는 이날 집회에서 한라산 조망권을 목축과 축산을 방해하는 풍력발단지 취소하고 우도조망권을 보장하라고 주장했다.특히 발전소 예정지 인근에는 청초밭영농조합법인이 300만평에 달하는 국내 최대의 유기농인증농지를 경작하고 있어 풍력발전단지가 유기농축산업에 걸림돌이 된다고 주장하며 철회를 촉구했다.
"
`바람 잘날 없는`풍력발전 사업,헤럴드경제,2006.09.12.,본 기사는 삭제되었습니다.
"한준호 한전 사장 ""공룡이요? 넓은 해외선 펄펄 날죠""",매일경제,2006.12.29.,"   전력업계 노벨상으로 불리는 `에디슨 대상`과 국가 민원행정 분야 최고 권위를 자랑하는 `옴부즈맨 대상` 수상. 한준호 한국전력 사장(61)이 올해 받은 굵직한 상이다.

   행시 10회로 오랫동안 공직사회에 몸담았던 한 사장이 2년여 만에 경영자로 탁월한 실적을 낸 비결은 무엇일까. 그는 `매사진선(每事盡善)`을 좌우명으로 삼아 임직원을 믿고 맡긴 결과인 것 같다고 설명한다.

   ""한전에 들어오는 직원들은 소위 `한전 고시`로 불리는 어려운 시험을 통과해야 합니다. 전력은 국가 기간산업인 만큼 직원이나 조직이 한결같이 국가관이 뚜렷하고 전문지식도 출중합니다. 그래서 취임 후 어떻게 옳은 방향으로 가느냐가 중요하다고 봤지요. 능력을 발휘할 수 있도록 동기를 부여했더니 모두 열심히 따라줘 좋은 성과를 낸 것 같아요.""

   2004년 3월 사장 부임 후 가장 신경을 썼던 부분은 인사. 한전은 임직원이 2만명에 달하고 지역감정도 심해 인사 때마다 말도 많고 탈도 많았다. 인사 후에는 청와대나 감사원에 투서가 들어가기 일쑤였다. 부패방지위원회의 청렴도 조사에서 2002년과 2003년 내리 꼴찌하는 창피를 당했다.

   ""인사 하나만큼은 바로 잡겠다며 승진심사 때 심사위원부터 지역 안배를 했어요. 한전은 지역사업소가 30개나 되고 과장에서 부장 되기가 하늘의 별 따기예요. 예전에는 전국 4000명의 과장을 대상으로 사장이 낙점했는데 그걸 사업소장 인격과 양식에 맡겼지요. 인사를 잘못하면 문책하겠다고 했더니 잡음이 크게 줄더군요.""

   그는 공기업에 횡행하던 인사 외풍을 막는 데도 힘썼다. 그랬더니 조직에 신뢰가 생기는 걸 느꼈다고 했다.

   취임 이후 `깨끗한 기업, 활기찬 한전`을 내걸고 윤리경영과 투명경영을 한 결과는 놀라웠다. 2004년 공기업 경영평가에서 1위를 해 직원 1인당 평균 350만원의 보너스가 돌아간 것. 그는 잠재력이 있던 곳에 `신바람`을 불어넣었더니 저절로 기업이 돌아가더라고 설명했다.

   한준호 사장은 한전의 새로운 성장동력 발굴 선구자이기도 했다. 한전이 `공룡`이며 비능률ㆍ비효율 조직이라는 얘기를 듣고 이제는 실력을 보여줄 때라며 해외 진출을 꾀한 것이다. 그는 ""송배전 손실률, 부하율, 정전율 등 세계 최고 수준 지표가 말해주듯이 경쟁력이 있는 만큼 해외에서 블루오션을 찾을 수 있다는 자신감이 있었다""고 말했다.

   그 결과는 놀라웠다. 95년부터 진출한 필리핀에서는 나라 전체 전력공급의 12%인 185㎾를 책임지고 있으며, 레바논에서는 전체 전력의 절반을 차지하는 발전소 2기를 인수해 운영중이다. 리비아 캄보디아 우크라이나 몽골 등에는 선진 송배전 기술을 수출하고 있다.

   해외 진출의 최대 성공지역은 중국. 한전은 허난성과 내몽골에 화력 풍력발전소를 건설했고 현재 각종 전력ㆍ자원개발사업에 참여중이다. 중국이 2020년까지 30기의 원전 건설을 계획하는 만큼 `한국 표준형 원전` 등을 수출한다는 계획도 추진중이다.

   한준호 사장은 노조와 연장자 반대를 무릅쓰고 투명경영을 위해 전사적 자원관리(ERP) 시스템도 도입했다. 선진 기술도 끊임없이 개발해 나갔다. 올해 에디슨상을 받은 것도 세계 최초의 해상철탑 89기 시공 신공법 개발, 고강도 알루미늄 전선 등 신기술 적용으로 345㎸규모 영흥 해상송전선로를 건설해 수도권 전력수급난 해소와 연간 3700억원 규모 비용절감 효과를 거둔 게 인정을 받았기 때문이다.

   한 사장은 향후 한전의 발전 방향에 대해 `자율경영 보장`을 강조했다. 인센티브를 주려면 정부 관여를 최소화해야 하는 만큼 한전이 민간기업처럼 성장하도록 돕기 위해 힘을 실어 줘야 한다는 게 그의 지론이다.


   ◆ He is


   = ▲45년 경북 칠곡 출생 ▲경북고ㆍ서울대 법대 졸업 ▲경희대 행정학박사 ▲행시 10회 합격(71년) ▲동력자원부 자원개발국장 공보관 석유가스국장 자원정책국장 ▲통상산업부 자원정책실장 ▲산업자원부 무역위원회 상임위원 및 기획관리실장 ▲중소기업청장 ▲한국생산성본부 회장 ▲중소기업특별위원회 위원장 ▲황조근정훈장 수상


   [김상민 기자]

   < Copyright ⓒ 매일경제. 무단전재 및 재배포 금지 >





"
국내 최대 양수발전소 12일 준공,문화일보,2006.09.02.,"
			(::강원도 양양에… 10년간 9324억 들여 총100만㎾ 생산::)강원 양양군 서면에 전국 최대 규모의 양수발전소가 세워져 12일 준공식을 거행한다. 1일 한국중부발전㈜에 따르면 양양 양수발 전소는 인제군과 양양군의 경계에 들어섰다. 인제군 기린면 진동리 방태천에 상부댐을, 양양군 서면 영덕리 후천에 하부댐을 만 들었다.지난 1996년 9월 5일 착공해 10년 동안 무려 9324억원이 투입된 대토목 공사였다.양수발전은 높은 곳과 낮은 곳에 각각 댐을 건설해 저수지를 만 들고, 터널을 뚫어 두 저수지를 연결한 뒤 터널 내 수차(水車)를 돌려 전기를 생산하는 방식이다.전력이 남는 심야에 하부 저수지의 물을 상부 저수지로 끌어올려 저장한 뒤 전력소비가 많은 낮 시간대에 물을 낙하시켜 발전기 를 돌리는 것이다. 이 때 수차가 시계 방향으로 돌면 전기가 생 산되고, 반대로 돌면 물을 위로 밀어 올리는 펌프 역할을 하게  된다.한국중부발전은 인제군 상부댐의 저수지 밑바닥을 뚫어 폭 6.4m, 길이 6㎞가량의 가압터널과 수로터널을 만들었다. 양수발전소에 있는 각종 땅속 터널 길이만 해도 16㎞에 달한다.양양 양수발전소에는 모두 4기의 발전기가 들어섰다. 모두 가동 하면 100만㎾의 전기를 생산할 수 있다. 발전시설과 물 수송 터 널은 지하에 설치됐다. 발전소와 변압시설을 놓기 위해 지하 700m 깊이에다 아파트 두 동이 들어설 수 있는 대형 빈 굴을 만들었다. 지하터널과 지하 공간을 만들기 위해 15t 트럭 14만대 분량 의 흙을 파냈다.양수발전은 낙차가 클수록 좋다. 양양 양수발전소는 상부 저수지가 해발 937m에 있어 하부 저수지까지 819m의 높이차가 생긴다.중부발전 측은 아시아 양수발전소 가운데 최대의 낙차라고 설명 했다.양양 양수발전소에는 국내 최초로 물고기가 이동할 수 있는 어도(漁道)도 만들어졌다. 게다가 하부댐에 1400㎾ 용량의 소수력발 전소를, 상부댐에는 3000㎾ 용량의 풍력발전기를 설치해 효율을 높였다.한국중부발전㈜ 정장섭 사장은 “최대 출력에 이르는 시간이 단 3분에 불과해 기동성이 뛰어난 데다 물의 양에 따라 쉽게 출력을 조절할 수 있는 것이 양수발전의 장점”이라며 “국내 최대규모인 양양 양수발전소를 환경 친화적 발전소로 운영할 계획”이라 고 밝혔다.장석범기자 bum@munhwa.com
"
[현장르포]제주 행원풍력단지－15층높이 풍차，미풍만 불어도 ‘발전’,파이낸셜뉴스,2006.07.27.,"




지난 21일 오후. 제주도는 ‘삼다’(三多)라는 말이 무색할 만큼 바람이 없었다. 제주공항에서 30분여를 달려 찾아간 제주시 행원리 행원풍력단지의 발전기도 서 있었다. 강성후 제주특별자치도 청정에너지과장은 “1년에 발전기가 가동되지 않는 날은 여름철에 일주일 정도에 불과하다”면서 “아침까지는 잘 돌았으나, 오후 들어 바람이 잦아들면서 멈춘 것”이라고 설명했다. 풍력발전기는 높이가 아파트 15층 정도되는 45m, 날개 길이는 40m를 넘을 만큼 어마어마하다. 이렇게 큰 ?I력발전기지만 바람이 초속 2.5m의 속도로 불면 방향을 찾아 돌기 시작한다. 4m부터는 발전기가 가동되고 13m에서는 정격출력으로 전기를 생산한다. 그러나 풍속이 25m를 넘는게 5분 이상 지속되면 안전을 위해 자동 중단된다. 강과장 “풍력발전은 바람이 연평균 초속 6m 이상 돼야 가능하다”면서 “행원풍력단지는 제주도에서 최적의 풍력발전 입지를 갖추고 있다”고 설명했다. 지난 96년 정부가 제주도 25곳의 타당성을 조사했는데 18곳이 6m를 초과했고,행원은 7.1m였다는 게 그의 설명이다. 이 곳에 세워진 발전기는 모두 15개. 모두 203억원(국비 156억원·도비 47억원)을 들였다. 지난 97년 8월 600㎾급 1·2호기를 시작으로 660㎾급 10개, 700㎾급 3개가 건설됐다. 지난해까지 행원풍력단지가 만들어낸 전기는 9만6330㎿h. 돈으로 따지면 63억원어치다. 석유 3만1355㎘를 아낀 셈이다. 강과장은 “전력판매단가가 ㎾h당 67.06원으로 민간풍력발전의 107.66원에 비해 한참 낮지만 올해부터는 연간 2만1900㎿h의 전기를 팔아 연간 14억원의 수입을 올릴 것으로 예상된다”면서 “제주의 바람이 소중한 미래 에너지원으로 바뀐 것”이라고 강조했다. 당초 우려했던 소음 등 환경문제는 걱정거리가 아니라고 한다. 임상욱 행원리 이장은 “처음에는 흉물이 될 것을 걱정해 주민 대부분이 반대했다”면서 “그러나 풍력발전소가 들어선 뒤 도의 직접 금전지원(연간 8500만원) 이외에도 지난해만 1만2000명의 방문객이 찾아오는 등 긍정적인 효과들이 나타나면서 우호적인 시각으로 변했다”고 말했다. 임이장은 “30만평의 마을 목장터에 풍력발전단지를 추가 조성키로 주민들간에 합의가 이뤄져 현재 민간기업과 함께 타당성조사를 벌이고 있다”면서 “지금의 풍력발전기보다 생산량이 2배 이상 큰 2㎿짜리를 세울 것”이라고 덧붙였다. 함께 행원풍력단지를 찾은 정세균 산업자원부 장관은 “풍력은 발전단가가 낮아 충분히 경제성이 있다”면서 “당장 결과가 안 나온다고 서두르지 말고 미래산업이라는 측면에서 앞으로도 풍력을 비롯한 신·재생에너지에 꾸준히 투자해야 할 것”이라고 강조했다./제주=윤경현기자 blue73@fnnews.com
"
[과학기술! 세계는 지금] 독일의 갈탄 화력발전소,국정브리핑,2006.07.22.,"
			세계적인 공업국가 독일은 환경문제에 대한 관심이 높아 원자력 발전소의 순차적인 폐지와 풍력 발전 등의 재생에너지의 집중 육성 등의 선구적인 에너지 정책을 펼쳐 왔다.

지금까지의 에너지 정책과는 달리 새로운 형태의 석탄 화력발전소를 건설하려고 한다. 독일에서 건설하려는 화력발전소는 갈탄을 연료로 사용하지만 지구온난화의 주원인으로 지목받고 있는 이산화탄소(CO2)의 배출이 전혀 없는 플랜트이다.

지난 5월 29일 이산화탄소를 배출하지 않는 세계 최초의 갈탄 화력 발전소 기공식이 독일 브란덴부르크주 남부의 소도시 스프렘베르크에서 개최됐다. ‘파일롯 플랜트’는 슈바르트폼페에서 석탄 화력 발전소를 운영하고 있는 유럽 최대 전력업체 가운데 하나인 바텐팔이 약 5,000만 유로를 투입해 건설하는 것이다. 중부 독일과 라우지츠에 있는 바텐팔의 갈탄 화력발전소들은 최신형이며 이를 위하여 1990년대에 9억 유로를 사용하였다. 








순산소 연소 기술과 이산화탄소 분리기술을 이용하는 바텐팔의 혁신적인 플랜트는 총 30 MW의 전력을 생산하며 2008년에 가동될 예정이다. 연소 과정에서 발생하는 이산화탄소는 순수한 상태로 분리되어 지하에 저장하게 된다.이를 통해서 CO2의 대기 배출을 방지할 수 있다. 파일롯 플랜트의 CO2 분리 연구는 바텐팔과 독일의 대학 연구소들이 공동으로 수행하고 있다.

바텐팔의 신개념 석탄 화력 발전 플랜트의 기공식에서 앙겔라 메르켈 독일 총리는 독일의 미래를 위하여 에너지 다변화(Energy Mix)를 어떻게 추진할 것인지를 심사숙고해야 한다며, 순산소 발전 플랜트와 같은 친환경 에너지 공정을 이용하여 매장량이 풍부한 갈탄을 환경친화적으로 이용할 수 있다면 미래의 중요 에너지 자원으로 갈탄을 포함시킬 수 있음을 강력히 시사했다. 

만약 독일이 이 발전소 건설에 성공한다면 석탄의 친환경 발전 분야에서의 확실한 기술적 주도권을 잡게 될 것이라고 강조하면서 연방정부는 이 프로젝트에 연구개발비를 지원할 예정이라고 총리가 밝혔다. 나아가 이 기술을 수출 상품화할 수 있을 것이라는 기대를 표명하기도 했다. 

2005년에 파일롯 플랜트의 건설 계획을 발표하면서 갈탄 화력 발전 분야에서 가장 앞선 기술을 보유하고 있다고 선언한 바텐팔은 기술혁신을 통해 적극적인 기후보호정책에 기여할 것이라고 역설했다. 또한 순산소 연소 기술이 발전소의 CO2 배출량을 획기적으로 저감할 수 있는 잠재력을 가지고 있다고 확신한다며 현재 2015년 가동을 예정으로 300 MW급 대규모 파일롯 설비를 건설할 계획이라고 밝혔다. 또한, 2020년경이면 순산소 연소 기술이 1,000 MW급 갈탄 화력 발전소에 상용화될 수 있을 것으로 예상된다.

그러나 환경단체의 반대 목소리도 높다. 그린피스(Greenpeace)는 이 기술이 에너지 집약적이고 너무 비싸다고 비판했다. 환경단체 로빈 우드(Robin Wood) 역시 메르켈 총리가 참석한 기공식장 옆에서 갈탄 사용을 반대하는 시위를 벌였다. 모두 재생에너지를 보다 더 적극적으로 육성해야 한다는 입장이다. 녹색당도 이 기술에 투자하는 것을 돈을 그저 주는 것과 마찬가지라는 비판이다. 이 기술에 재원을 투입하는 것보다 신재생에너지로 전환하는 것을 지원하는 게 바람직하다는 것이다.

공해를 전혀 발생시키지 않는 공정을 통해서 석탄을 에너지원으로 지속적으로 이용하려는 시도는 미국, 일본, 유럽에서 활발히 진행되고 있다. 가장 널리 알려진 공정은 석탄 복합 가스화 플랜트로서 미국이 주도하는 퓨처젠(Future Gen) 프로젝트가 대표적이다. 

순산소 연소 플랜트와의 차이점은 석탄을 산소 또는 증기를 이용하여 가스터빈에서 연소되는 청정 연료인 합성가스(수소와 일산화탄소로 구성됨)로 전환시킨 후, 전력 생산을 위하여 가스터빈을 구동시키고 발생되는 열을 이용하여 증기터빈을 순차적으로 가동시키는 것이다. 터빈에서 배출되는 가스의 대부분 물과 CO2로 구성되기 때문에 CO2 분리 비용이 저렴하며 포획된 CO2는 바텐팔의 플랜트와 같은 방식이 지하 저장을 이용한다. 

문의: 과학기술부 정책홍보담당관실(02-2110-3525)
      한국과학기술정보연구원(KISTI, 042-828-5114)
		"
쪽빛 희망 '햇빛발전소'를 아십니까?,오마이뉴스,2006.07.13.,해당 기사는 관련자에 의해 삭제되었습니다.
난산리 풍력발전단지 유치로 마을발전 도모,제주일보,2006.06.15.,"
			남제주군성산읍난산리가 청정 에너지원인 풍력발전단지 유치를 통한 마을발전을 꾀하고 있다.난산리마을회(이장 김승환)는 풍력발전단지 유치를 위해 지난 2003년 유치위원회를 구성하고 풍력발전시설업체인 (주)유니슨측에 풍력발전단지로 마을토지 6만평을 제공키로 했다.(주)유니슨은 이 6만평의 부지에 사업비 300억원을 투입 2.1MW 급 풍력발전시설 7기를 설치키로 하고 현재 33%의 공정률을 보이고 있다.14.7MW 의 발전설비용량은 7500가구가 사용할 수 있는 전력으로 제주지역에 안정적인 전력공급 및 갑작스런 정전사고에 대비할 수 있을 것으로 전망되고 있다.특히 발전원이 바람으로 일반 화력발전소에 비해 연간 약 2만2000톤의 이산화탄소량을 감소시키는 것으로 평가되는 청정에너지이다.난산리는 마을소유 토지 제공에 따른 연간 임대료와 함께 인근의 성산일출봉, 미천굴관광지, 성읍민속마을과 연계해 풍력발전단지를 관광자원화해 마을발전을 계획하고 있다.그러나 현재 공사중인 단지 인근의 청초밭영농조합법인에서는 발전시설을 반대하고 있다.이에대해 김승환이장은 “풍력발전시설은 적법한 절차에 의해 승인된 마을주민들의 숙원 사업인데 일부의 반대로 현재 공사가 중단된 상태”라며 “원활한 문제해결로 조속한 시일내공사가 재개되길 바란다”고 말했다.
"
[로컬이슈]대규모 풍력발전단지 조성,강원일보,2006.06.12.,"
			　-주민 집단 이주대책 등 논란 　도가 1,200억원 규모의 민자및 외국자본을 유치해 강릉 왕산면과 횡성 둔내면에 추진중인 대규모 풍력발전단지 조성사업이 지역 일부 주민들과 환경단체의 강한 반발에 부딪쳐 난항이 예상된다. 　■추진경과 및 향후 계획 　도는 풍력발전단지 조성을 위해 지난 2004년 12월 (주)유러스에너지재팬과, 지난해 4월 (주)포스코건설과 각각 양해각서(MOU)를 체결하고 지난 1월 풍력발전단지 타당성용역과 설계용역을 발주했다. 　이어 지난 2월 도와 (주)유러스에너지재팬, (주)포스코건설, 강릉시, 횡성군은 풍력발전단지 조성을 위한 공동개발계약(JDA)을 체결했다. 　강릉시 왕산면 대기리와 횡성군 둔내면 삽교리 일대 추진되는 풍력발전단지는 약 1,200억원의 예산이 소요되며 강릉에 12기, 횡성에 18기 등 모두 30기가 설치될 예정이다. 　풍력발전단지 조성사업은 오는 8월께 타당성 용역과 설계용역이 도출되면 경제성 분석결과 보고와 단지건설계약을 맺고 공사 착공에 들어갈 예정이며 2007년 10월께 상업운전에 착수할 계획이다. 　■주민 및 환경단체 입장 　강릉시 왕산면 대기리 8농가는 지난 3월 도와 강릉시 등에 진정서를 내고 풍력발전단지 조성에 따른 대책 마련을 요구하고 있다. 　이들은 진정서에서 “발전설비가 내는 엄창난 소음과 저주파, 대형 회전날개에서 반사되는 빛 공해 등으로 막대한 피해가 예상된다”며 “특히 회전날개에 의한 야생동물 피해와 날개에 결빙된 얼음이 발전기 가동으로 떨어져 나갈 경우 안전사고도 우려된다”고 밝혔다. 　주민들은 “독일 Retexo-RISP는 주거지로부터 2㎞이내에는 풍력발전소를 건설해서는 안된다고 했다”며 “또 20기의 풍력 터빈이 있는 미국 펜실베니아 소재 Meyesdate풍력발전소는 800m 떨어진 곳에서의 소음도가 48시간 연속해서 잠을 잘 수 없을 정도인 75㏈였다”고 강조했다. 　이에 따라 주민들은 거주와 생계수단인 고랭지농업이 불가한만큼 풍력발전단지 조성부지 인근 주민들의 집단 이주대책을 마련해 달라며 이 같은 요구가 받아들여지지 않을 경우 반대 투쟁은 물론 가능한 법적 대응을 강구하겠다는 입장이다. 　이승기 (사)한국녹색회 정책실장은 “풍력발전이 화석연료를 쓰지 않고 이산화탄소를 배출하지 않기 때문에 대체 에너지원으로 대두되고 있지만 대규모 단지로 들어서면 주변을 황폐화시키는 공해 시설”이라며 “계획단계에서 입지 선정에 세심한 주의를 기울여야 한다”고 했다. 　■도 및 강릉시 입장 　도는 강릉과 횡성에 풍력단지가 조성될 경우 연간 13만9,000MW규모의 청정에너지 생산이 가능, 강릉시 2만 가구, 횡성군 2만6,000가구에 안정적인 전기를 공급할 것으로 기대하고 있다. 　이미 지난 2004년 8월 가동을 시작한 대관령시범단지(4기), 지난해 8월 가동한 태백시 매봉산시범단지(5기)에 이어 도내에서는 세 번째로 풍력발전단지가 조성됨으로써 풍력발전사업에 더욱 활기를 띠게 됐다. 　특히 강릉, 횡성풍력단지를 통해 연간 150억원의 매출액이 발생할 것으로 전망, 2007년 단지가 완공된 뒤 가동에 들어가면 2015년께 투자금이 모두 회수될 것으로 내다보고 있다. 　도 관계자는 “풍력발전단지 가동으로 발생하는 이익금 중 일부는 지역발전에 재투자하도록 계약조건에 명문화 했다”며 “풍력발전단지 조성사업에 해당 지역 주민들의 의견을 최대한 수렴한다는 기본 방침도 정해 놨다”고 밝혔다.<江陵=崔聖植기자·choigo75@kwnews.co.kr> 
"
[기고] 풍력발전도 공해시설이다 / 이승기,한겨레,2006.05.16.,"과거엔 울산이나 포항의 공장 견학이 꽤 인기있는 관광상품이었다. 그러나 지금은 다르다. 볼일이 있어서라면 몰라도 구경삼아 대규모 공장을 보겠다는 사람은 거의 없다. 하다 못해 도시 안의 공원에라도 가면 그나마 자연과 생명의 맛을 볼 수 있지만 공장은 그저 하나의 인공적인 시설이기 때문이다. 요즈음 많은 사람들이 청정 에너지원으로 선전되는 풍력발전소를 1960~70년대의 공장을 대하듯, 또는 네덜란드의 한가한 풍차를 보듯 진기한 마음으로 바라보지만, 분명한 것은 그것이 대규모 단지화하면서 주변의 생태계를 교란시키고 개발에 따른 환경 파괴를 일으키는 상업적 발전시설의 하나일 뿐이라는 것이다.
 요즘에 건설되고 있는 대규모 풍력발전기는 탑의 높이가 80미터를 넘고 회전날개 반지름까지 포함하면 무려 120미터에 이른다. 멀리서 보면 언뜻 낭만적으로 보일지 몰라도 가까이 직접 보면 몹시 위압적이어서 공포감을 자아낸다. 날개가 바람에 부딪혀 돌아가며 내는 굉음은 영락없는 소음공해다. 그리고 그것이 풍치 좋은 곳에 서게 되면 자연경관을 형편없이 망치고 만다. 풍력발전이 화석연료를 쓰지 않고 이산화탄소를 배출하지 않기 때문에 대체 에너지원으로 대두되고는 있지만 그것이 대규모 단지로 들어서면 그것은 분명 주변을 황폐하게 하는 공해 시설이다. 그러므로 풍력발전은 그 계획단계에서 입지 선정에 세심한 주의를 기울여야 한다. 입지 선정이 잘못되면 그것은 동네 한복판에 들어선 고압 송전 철탑과 마찬가지의 흉물이 된다.
 이미 풍력발전을 본격적으로 도입한 독일의 경우, 베를린 인근 우커마르크 마을 주민들은 경관 훼손과 소음공해, 점멸등 불빛 공해 등을 이유로 풍력발전기 추가 건립을 완강히 반대하고 있다. 오스트레일리아 빅토리아주에서는 회전날개에 부딪혀 희귀종 앵무새가 한 해에 한 마리씩 숨질 수 있다는 이유로 1500억원 정도의 공사비가 투입되는 공사를 중단시켰다.
 우리나라에서도 입지 선정이 잘못되어 문제가 점차 심각해지고 있다. 강원도 강릉시 왕산면 대기4리 주민들은 풍력발전기가 내는 엄청난 소음은 물론이고 대형 회전날개에서 반사되는 빛 공해, 그리고 날개가 돌지 않고 있을 때 붙은 얼음이 날개가 돌아갈 때 깨지면서 일으킬 안전사고 위험이 높다며 강릉시의 풍력발전단지 조성 사업에 반대하고 있다.
 요즈음 문제가 되고 있는 제주 난산 풍력발전단지 건설 예정 지역의 사정은 더욱 심각하다. 이곳은 평야 지대이며 제주 한라산과 성산 일출봉을 양쪽으로 훤히 볼 수 있는 경관 만점의 지역이다. 더욱이 코앞 토지에서는 경주마를 치고 있고, 대규모 유기농 축산을 하는 영농조합단지가 바로 옆에 있다. 유기농을 유지하려면 새들이 많이 깃들어 해충을 잡아먹는 생태균형이 이루어져야 하는데 회전날개의 굉음이 새들을 쫓아낼 것이 뻔하고, 또 발전단지 가까운 곳에서는 소음이나 빛 공해로 말미암아 축산이 위협받을 것이 분명하다. 그럼에도 사업주는 인근 토지 소유자들이나 주민들에게 사업 내용을 제대로 설명하지 않고 제주도로부터 사업승인까지 받아냈다. 고압전류를 송전할 전신주가 들어서고 기초공사가 시작돼서야 사태의 심각성을 알게 된 인근 토지 소유주들과 주민들이 결사 저지를 외치며 궐기하고 있는 딱한 실정이다.
 친환경 시설이라고 해서 환경을 고려하지 않고 들어서도 된다는 법은 없다. 친환경 시설일수록 환경을 생각하고 인근 주민들의 삶을 고려하는 계획이 함께 하면 좋겠다. 입지 선정을 제대로 하지 않은 풍력발전단지 건설 계획은 즉각 중단해야 한다.
이승기 (사)한국녹색회 정책실장  



"
