기사 제목,신문사,발행 날짜,본문 내용
풍력발전 건립 갈등의 해법,에너지경제,2014.12.28.,"







▲송찬영 기자<환경 교육부> 

[에너지경제 송찬영 기자] 풍력 발전기 건립을 둘러싸고 지자체와 사업자, 주민 환경단체가 맞서고 있다. 부산시는 2007년도부터 사하구 승학산에 2㎿급 5기 건설을 추진해 왔으나 지난해 6월 주민공청회 이후 진전이 없다.총사업비 9000억 원이 투입되는 제주도대정해상풍력발전사업이사업자와 어업인 간 갈등으로 4년째 표류하고 있다. 전남 해남군에서는 지난 10월 말 주민설명회 개최 이후, 주민들 사이에 반목이 깊어지고 있다.미래 청정에너지 사업인 풍력발전이 도대체 왜 불신을 받고 있는 것일까. 가장 큰 이유는 지역 주민들과 공감대 없이 사업이 강행되기 때문이다. 해남군 송지면의 한 주민은 발전소가 들어온 다면, 최소한 면민들에게 공청회라도 열어줘야 하는 것 아니냐 고 반문했다.둘째, 이익이 지역민에게 돌아가지 않기 때문이다. 토지보상 등 일부 주민을 제외하고 대다수 현지 주민들이 얻는 이익은 거의 없는 것이 현실이다. 셋째, 소음과 저주파로 인한 건강과 환경 파괴 우려 때문이다. 민은주 부산환경운동연합정책국장은 풍력발전자체를 반대하는 것은 아니다 며 주민 이용이 많고, 지역의 생태 축이라는 점에서 문제를 제기 한 것 이라고 말했다.그렇다면 갈등을 완화시킬 수 있는 방법은 없을까? 먼저 풍력발전을 해야 하는 현실을 받아들이려는 국민적 노력이 필요하다는 지적이다. 또 전기를 값싸게 공급받는 기업과 도시민들이 비용을 더 지불하겠다는 자세도 중요하다.또 저주파 피해에 대한 과학적 조사와 주민 거주지와 자연 환경을 감안한 풍력발전 설치 기준을 조속히 정비할 필요성도 대두되고 있다. 하지만 무엇보다 중요한 것은 설립 초기부터 주민들과 민주적인 공론화 작업이 필요하다는 점일 것이다.박대문 오대풍력발전 사장(전 강원풍력발전 사장)은 사업자는 대상이 아닌 사업이라도 환경영향평가와 경관평가를 거쳐 분쟁의 소지를 방지하고 초기부터 주민과의 공개토론회를 통해 상세히 설명하는 등 세심한 배려가 있어야 한다 고 조언했다 "
"산업계의 ‘천일야화’ 의령풍력사업, 남긴 것과 남은 것들",에너지경제,2014.12.25.,"







▲무려 800일을 끌었던 유니슨의 의령풍력발전단지 인허가 작업이 대단원의 막을 내렸다. 기업의 신승(辛勝)이었지만 상처뿐인 영광이었다. 사진은 유니슨이 2005년 완성한 영덕육상풍력발전단지의 모습. <사진=안희민> 

대통령에 의존하는 갈등조정체계 ‘한계‘결국 부처 간 정책 맞교환으로 해결   [에너지경제 안희민기자] 최근 불거진 의령풍력발전사업 인허가를 둘러싼 당국과 관련 기업의 이야기가 인구에 회자되고 있다. 관련 기업은 무려 800일간의 혈투 끝에 사업을 이어갈 수 있게 됐지만 만신창이가 됐다. 주당 1만원이 넘던 주가는 2400원대로 주저앉았고 겨우 관리종목 탈피를 앞두고 있다. 인허가 당국인 환경부와 산림청은 담당 공무원이 교체되는 된서리를 맞았다. 대통령까지 문제해결에 나섰지만 일선 지자체와 시민단체는 여전히 모르쇠였다. 중앙부처 공무원과 지역 여론선도계층이 나서 겨우 인허가를 받았지만 기업은 지역사회에 지역사회개발기금 조로 얼마나 줘야할지 전전긍긍이다.    ◇ “대통령이 무섭기는 무섭구나!”-유니슨은 어느새 육상풍력 규제혁파의 상징이 돼 버렸다. 김두훈 사장이 지난 3월 12일 개최된 제5차 무역투자회의에서 박근혜 대통령에게 직접 읍소를 했기 때문이다. 박 대통령은 “이렇게 하면 되느냐?”며 김 사장에게 물으며 즉석에서 산림청장에게 문제해결을 지시했다. 산림청장은 그 자리에서 “그렇게 하겠다”고 복명했다. 그때부터 모든 상황이 급변하기 시작했다. 산림청장과 환경부는 잇따라 업계와 간담회를 개최하며 업계의 요청을 수용했다. 산림청은 사업부지가 10만㎡ 이하면 간편한 인허가인 ‘개발행위허가’로 인허가를 내주기로 5월 결정했고 환경부는 생태등급 1등급지에도 육상풍력시설이 들어설 수 있도록 10월 양보했다. 산림청의 종전입장은 인허가 기간이 2년 이상 걸릴지라도 기업들이 전략환경영향평가를 받기를 바랬다. 환경부는 전국 산지를 생태등급을 매겨 1등급지에 발도 못 붙이게 했다. 이러한 조변석개를 두고 업계는 “대통령이 무섭기는 무섭구나!”고 실소했다. 실소는 민주사회라지만 여전히 갈등해결을 대통령이라는 최고 권위에 의존하는 한국사회의 현주소를 자각에 따른 것이기도 했다.    ◇ “내가 할 일은 정부의 잘못을 바로잡는 일”-하지만 완전히 끝나지 않았다. 지자체라는 마지막 복병이 숨어 있었다. 지자체 담당자로서는 육상풍력사업이 준비해야할 서류가 많이 필요한 번잡한 일이었다. 신재생에너지산업 자체가 초창기이기 때문에 관행이나 매뉴얼이 제대로 갖춰있지 않기 때문이다. 결국 중앙정부인 산업부 담당공무원이 수차례 다년간 끝에 해당 지자체는 사업 추진에 협조하기 시작했다. 지자체의 여론 선도층도 기업들에게 넘어야할 또 다른 벽이었다. 기업은 주민설명회와 별도로 일일이 도시계획위원들을 찾아다니며 설명해야했다. 특히 완강히 사업에 반대하는 위원도 있었다. 박 모 위원은 “내가 하는 일은 정부의 잘못을 바로잡는 일”이라고 말했다. 본회의와 더불어 현장심의가 개최된 끝에 조건부로 인허가가 났다. 유니슨는 인허가 획득이라는 신승(辛勝)을 거뒀지만 적잖은 인적, 시간적, 물적 비용을 지불해야 했다. 관계자는 “여기에 드는 시간과 물질적 비용이 결코 적지 않았다”고 말했다. 그리고는 곧 의령군에 내줘야하는 지역발전기금의 몫을 계산했다. 여전히 씁쓸한 표정이었다. 남는 장사가 아니었기 때문이다.    ◇ “원래 그런 거야, 그러니 가로림을 챙겼지!”-유니슨 관계자는 “의령풍력발전사업이 이윤을 남기기보다는 기업을 지속하기 위한 사업”이라고 말했다. 육상풍력사업이 제대로 진행되지 않자 모기업 도시바의 실증플랜트 사업 대행 등을 비롯한 각종 투자와 사업이 줄줄이 연기됐기 때문이다.인허가증 교부 이후 환경부와 산림청의 태도가 바뀌었을까? 정확히 말하면 그렇지 않다. 환경부는 육상풍력을 양보하는 대신 가로림만 조력발전소 허가를 지켜냈다. 환경부는 생태등급 1등급지에도 육상풍력 인허가를 내 줄수 있다고 발표하는 당일 날 가로림만 조력발전소 인허가를 실질적으로 반려했다. 즉 육상풍력업계의 신승(辛勝)은 운좋게 산업부와 환경부 간 정책 맞교환(trade off)의 산물이다. 정부 부처는 부처 간 대립각을 세우는 사안에 부딪칠 때 이런 식으로 거래하는 일이 잦다. 저탄소차협력금과 연비 기준 강화도 최근 환경부와 산업부 간 이뤄졌던 거래였다.이쪽 계통에 정통한 모 대학 교수는 “원래 그런 것”이라고 말했다.   "
"(2014년 결산)신재생에너지-육상풍력 날고, 해상풍력 기고",전기신문,2014.12.24.,"


신재생에너지 분야는 올해도 각종 논란 속에 다이내믹한 한 해를 보냈다. 





환경부와 산림청의 입지 규제로 어려움을 겪던 육상풍력사업은 지난 10월 6일 발표된 ‘육상풍력 개발사업 환경성평가 지침’을 통해 생태자연도 1등급지 내에서도 사업을 추진할 수 있게 됐다. 이로 인해 발이 묶였던 7개 사업이 활로를 찾았다. 





반면 해상풍력은 고전을 면치 못했다. 우여곡절을 겪던 서남해 2.5GW 해상풍력사업은 참여기업이 없어 2년 이상 미뤄지게 됐고, 발전사들이 주도하는 탐라해상풍력‧대정해상풍력 등은 주민 반대로 착공에 실패했다. 





특히 올해는 발전소 온배수를 신재생에너지로 신규 지정하는 것을 놓고 정부와 환경시민단체가 갈등을 빚었다. 정부는 발전사들의 RPS 이행수단 확보를 위해 발전소 온배수를 신재생에너지로 지정했지만, 환경단체는 주객이 전도된 정책이라고 비판했다. 





올해로 시행 3년차를 맞은 RPS는 조금씩 제도가 손질됐다. 우선 의무이행 기간이 2년 연장되고 의무비율도 완화됐다. 또 조류와 지열에 REC 가중치 2.0을 신규로 부여하고, 해상풍력과 지열·조력에는 변동형 또는 고정형 가중치를 선택할 수 있도록 했다. 태양광 가중치는 소규모를 우대하는 방향으로 개정됐다. 





올해 태양광 분야에는 새로운 형태의 사업모델이 속속 등장했다. 지난해 시범사업을 거쳐 본 사업이 진행된 태양광 대여사업은 2000가구 이상 계약을 체결하며 성공적으로 마무리됐다. 태양광 대여사업은 정부가 선정한 6대 에너지 신산업에 포함되며 내년에도 사업 확대를 예고하고 있다.





또 각 지자체에서는 아파트 베란다에 설치하는 미니태양광 보급도 활발히 진행됐다. "
"[기고] 삼척, 영덕에 핵발전소 안 되는 이유 / 김영희",한겨레,2014.12.15.,"
지난달 21일 국무총리가 영덕을 방문한 뒤, 정부는 “영덕에 2기의 신규 핵발전소를 건설하는 것을 제7차 전력수급기본계획에 반영하겠다”고 했다. 핵발전소가 안 되는 이유는 100가지도 넘지만 특히 삼척, 영덕에 안 되는 이유에 대하여 세가지를 지적하고자 한다.
 첫째, 송전망이 현실적으로 어렵다. 2019년 준공 예정인 신울진핵발전소에서 생산될 전력을 수도권에 공급하기 위해 계획된 신경기변전소(765㎸ 규모)와 송전선로에 대해, 5대 종단 성직자 및 시민단체들이 지난 1일 건설계획 백지화를 촉구하는 등 강력한 반대에 나서고 있다. 
 신경기변전소~신울진핵발전소 765kV 송전선로도 문제지만, 삼척이나 영덕에 핵발전소를 지으려면 별도로 삼척~수도권 또는 영덕~수도권 및 중부권에 765kV 송전선로를 추가로 건설해야 한다. 이는 백두대간을 넘어야 하고 수도권에 변전소가 또 건설되어야 하는 일인데, 신경기변전소조차 불투명한 상황에서 엄청난 반대에 직면할 것이다.
 전력전문가들은 현재 수도권의 환상형 전력망이 국지적 정전을 줄여주고는 있으나, 대형 765kV 선로에 추가로 연결될 경우 일찍이 겪어보지 못한 수도권 및 전국에 걸친 ‘광역정전’의 위험성이 높아진다고 한다. 765kV 대신 한전이 추진하는 초고압직류송전선(HDVC)을 건설하려 해도 기존 교류송전체제와 연결해야 하는 기술적인 어려움과 비용, 안정성 문제가 심각해 사실상 불가능에 가깝다고 한다. 요컨대 영덕에 핵발전소를 짓더라도 생산될 전력을 실어 나를 송전선로 건설이 사실상 불가능한 상황이다.
 둘째, 전기소비가 줄고 있다. 2014년 정해진 제2차 에너지기본계획은 2035년까지 전력수요가 연평균 2.5% 증가할 것으로 전망했다. 산업통상자원부가 같은 기간 국내총생산(GDP) 성장 둔화로 최종에너지 소비 증가율이 1.4%에서 0.8%로 줄어든다고 예측했음에도, 전력 부문만 에너지소비 전기화로 소비가 늘어날 것이라고 본 것이다. 이렇게 높은 전력수요 증가율 예측을 전제로 핵발전 비중을 29%로 하여 핵발전소 5~7기를 추가로 건설해야 한다는 게 정부의 논리다.
 그런데 지난달 에너지경제연구원이 발표한 자료를 보면, 2014년 3분기까지 국내 평균 경제성장률은 3.5%로 지난해보다 0.8%포인트 상승했는데도 불구하고 1~9월 전력수요 증가율은 전년 동기 대비 0.3%포인트 증가에 그쳤다. 에너지경제연구원은 국내 전력소비 증가 추세가 2011년 이후 하락세로 돌아섰으며, 이러한 하락세는 일시적이 아닌 구조적인 변화로 봤다. 따라서 내년 상반기 확정된다는 제7차 전력수급계획에서 전력수요 증가율 전망은 대폭 축소 조정돼야 하며, 높은 전력소비 증가율을 전제로 검토되고 있는 신규 핵발전소 건설 계획도 철회돼야 한다. 또한 제2차 에너지기본계획에서 2대 원칙으로 결정된 분산형 전원구조의 확립 차원에서도 동해안의 대형 핵발전단지보다는 수요 집중지인 내륙에 입지한 열병합발전단지 등의 이행계획을 수립해야 한다.
 셋째, 재생가능에너지가 핵발전소 전기보다 싸다. 세계에너지기구는 풍력은 화석연료 대비 경제성이 확보된 것으로 인정하고 있고, 태양광도 2020년 이전에 화석연료 대비 경제성을 갖게 될 것이라고 예측하고 있다. <블룸버그>도 2030년에는 태양광이나 풍력의 발전 단가가 석탄이나 가스에 비해 훨씬 더 싸질 것이라고 했다. 한국에너지기술평가원장도 태양광 모듈 가격이 현재의 절반으로 떨어지는 데는 4년이 채 걸리지 않을 것이라고 전망했다. 그렇다면 삼척, 영덕에 핵발전소를 지으면 재생가능에너지보다 훨씬 비싼 전기를 생산하게 된다. 사고 위험에다 비경제적인 핵발전소는 더 이상 설 자리가 없다. 
김영희 변호사·탈핵법률가 모임 해바라기 대표 

"
"신재생에너지 공급 위반 발전소, 과징금 170억원 감면",경향신문,2014.12.08.,"
대상 14곳 중에 절반이 불이행, 부과율 33%P나 깎아 적용“원전은 주민 반대 무릅쓰고 확대… 거꾸로 가는 발전 정책”
정부가 신재생에너지 공급 의무량을 지키지 않은 발전사들의 과징금을 170억원 가까이 감면해줬다. 원자력발전은 주민 반대를 무릅쓰고 확대를 고집하면서도 그 대안인 신재생에너지 확대에는 소극적인 태도를 보이고 있다. 





그린피스 ‘영광 원전 가동 중단’ 퍼포먼스 그린피스 활동가들이 8일 전남 영광군 한빛원자력발전소 앞에서 한빛원전이 가동된 1985년 이후 발생한 사고·고장 건수와 같은 160개 십자가를 들고 위험성을 경고하고 있다. | 그린피스 제공


산업통상자원부는 8일 서울 수송동 석탄회관에서 ‘신재생에너지 정책심의회’를 열고 지난해 신재생에너지 공급의무화 제도 이행실적을 점검했다. 이는 50만㎾ 이상 발전설비를 갖춘 발전사업자가 총 발전량 중 일정비율 이상을 태양광, 풍력 등 신재생에너지로 공급하도록 의무화한 제도다. 2012년부터 시행됐으며 현재 국내 14개 발전사가 제도 적용 대상이다. 지난해 의무공급 비율은 전체 발전량의 2.5%였다.지난해 이 제도 의무량을 달성하지 못한 곳은 7곳으로 전체 과징금은 498억원이다. 업체별로 한국서부발전 181억원, 한국중부발전 113억원, 한국동서발전 79억원, 한국남부발전 62억원, GS EPS 54억원, 한국남동발전 6억원, 포스코에너지 3억원 순이다.2012년 의무량을 채우지 못한 업체 6곳에 부과된 과징금은 253억6000만원이었다. 1년 만에 과징금 액수가 2배 가까이 늘었다. 하지만 전년도에 적용된 기준을 적용하면 오히려 169억5000만원이 감면된 규모다. 







이 제도 과징금은 업체별 불이행량에 공급인증서(REC) 평균거래 가격과 과징금 부과율을 곱한 값이다. 공급인증서는 발전사업자가 신재생에너지 설비를 이용해 전기를 생산·공급했음을 증명하는 인증서다. 불이행량과 공급인증서 평균거래 가격은 고정값인 반면, 과징금 부과율은 관련법에 따라 150% 내에서 조절할 수 있다. 2012년 과징금 부과율은 평균 131%였다. 이를 불이행 업체별로 적용하면 전체 과징금은 667억5000만원이다.그러나 지난해 불이행 업체에 적용된 부과율은 평균 98%로 전년보다 33%포인트 낮아졌다. 남동발전 과징금 부과율은 2012년 150%였지만 지난해 57%포인트 낮은 93%였다. 서부발전 과징금 부과율도 135%에서 90%로 낮아졌다.새정치민주연합 부좌현 의원은 “산업부가 올 9월 국회에 지난해 과징금 규모를 600억원 이상으로 밝혔지만 석 달 만에 과징금 규모가 100억원 이상이 줄었다”며 “발전 사업자들이 제기해온 민원을 들어준 것”이라고 말했다. 

산업부 관계자는 “과징금 부과율은 발전사들이 이행하지 못하게 된 이유 등 모든 여건을 고려해서 적용했다”며 “올해 육상풍력발전소 입지와 관련된 규제가 개선됐고 신규 사업자의 시장 진출 조건도 완화한 만큼 이행률이 지속적으로 높아질 것”이라고 했다. "
"[기획]①강원대 성원기 교수 ""삼척은 원전반대 투쟁의 성지""",뉴시스,2014.12.02.,해당 기사는 관련자에 의해 삭제되었습니다.
대구경북TBC)풍력발전봇물 규제완화논란,TBC대구방송,2014.12.04.,해당 기사는 관련자에 의해 삭제되었습니다.
"3년 전엔 ‘환경훼손’ 이유로 거부해 무산됐는데…해남군, 땅끝마을 풍력발전...",경향신문,2014.12.12.,"
이번엔 공무원들이 앞장주민설명회도 없이 밀어붙여인근  6개 마을 주민들 반발
3년 전 환경훼손 등을 들어 전남 해남군이 거부해 무산된 송지면 ‘땅끝마을 풍력발전소’ 건설이 다시 추진되고 있다.해남군 공무원들이 발전소 유치건의서 내용을 직접 쓰고, 주민설명회를 생략한 채 이장들의 서명만을 받아 군청에 제출하는 비정상적인 유치활동이 발 빠르게 진행되고 있다. 주민들은 “주민설명회 한번 없이 황당한 일이 벌어지고 있다”며 반발하고 있다.해남군 관계자는 11일 “한국남동발전 등이 지난 10월24일 송지면 이장단 회의에서 풍력발전단지 사업계획을 설명했다”면서 “이후 지난달 이장 대다수가 유치에 찬성하는 건의서에 서명해 군수에게 보고했다”고 밝혔다.이 발전소는 땅끝관광지 송호리와 통호리 사이 비룡산 산마루에 시간당 30㎿ 전력을 생산하는 시설로 세워진다.전남도 관계자는 “시간당 2㎿ 전력을 생산하려면 높이 80m 타워를 짓고, 그 위에 길이 90여m 이상인 바람개비를 달아야 한다”면서 “30㎿ 규모라면 이런 시설 15개를 설치해야 한다”고 설명했다.한국남동발전은 2009년에도 같은 장소에 발전소를 지으려다 2011년 해남군이 땅끝관광지 주변 환경훼손과 소음공해를 부른다며 거부해 정부 허가를 받지 못했다. 발전소의 정상적인 유치절차는 해당 업체가 주민을 대상으로 설명회를 개최한 뒤 주민동의서 등을 받아 산업부에 제출하는 방식이다. 또 사안에 따라 시장·군수 또는 도지사 의견을 듣는 절차도 있다.그런데 이번에는 주민설명회가 생략된 채 이장들만을 상대로 유치서명을 받고 있다. 공무원들이 앞장서서 일방적으로 유치활동을 펴고 있다는 정황도 드러나고 있다. 이 때문에 해남군이 3년 전의 반대 입장을 바꾼 것 아니냐는 지적이 나오고 있다.해남군 직원들은 한국남동발전의 설명회 이후 11월 정기 이장단회의를 보름가량 앞당긴 지난달 10일 열어 “발전소가 들어서도 피해가 없고, 지역발전기금과 세수 증대 등으로 지역에 도움이 된다”고 했다.해남군은 송지면 이장단 42명 중 39명으로부터 ‘유치건의서 찬성 서명’을 개별적으로 받아냈다. 서명에 반대한 미항리 명경옥 이장은 “대다수 이장들은 친한 공무원들이 부탁해서 엉겁결에 서명을 했다고 한다”면서 “주민생존권과 땅끝마을 환경이 달라지는 문제를 우격다짐으로 풀려 하면 안된다”고 말했다. 

송호리 박모씨는 “인근 6개 마을 주민들이 내용도 모르는 유치건의서가 제출됐다는 소식에 분노하고 있다”면서 “시민단체들과 함께 유치운동에 맞서겠다”고 말했다. 해남군 관계자는 “이장단에게 풍력발전소의 장단점을 함께 설명했고, 서명은 자발적으로 이뤄졌다”고 해명했다. "
[태백]최종연 태백시장 예비후보 풍력발전소 매각 반대성명,강원일보,2014.04.02.,"
											【태백】최종연(54) 태백시장 예비후보는 1일 오투리조트와 태백 풍력발전소를 일괄 매각하려는 태백시 계획에 반대하는 성명서를 발표했다. 최 예비후보는 이날 시청 브리핑룸에서 발표한 성명서를 통해 풍력발전소가 이처럼 끼워넣기식으로 매각되면 시로선 소중한 풍력자원만 잃게될 공산이 크다고 주장했다. 현재 이들 시설 매수 대상자로 거론되고 있는 중국 자본가는 오투리조트 등을 헐값에 매입한 뒤 이를 제3자에게 또 다시 매각, 이득만 챙길 공산이 크다고 강조했다. 최 예비후보는 “시가 오투리조트를 파산의 위기에서 구하려면 우선 회생 자금 120억원을 조기 투자하고 최악의 경우 회생 신청 등 자구책을 서둘러야 할 것”이라는 입장을 밝혔다.














장성일기자
"
발전소온배수 신재생E 지정 갈등,투데이에너지,2014.11.18.,"
신재생업계 “버려진 자원 재활용 외 의미 없는 꼼수”산업부 “에너지순환 차원서 신재생…가중치 확정 등 예정대로”
[투데이에너지 송명규 기자] 정부가 발전소온배수를 신재생에너지로 규정하려는 가운데 일부 정치권과 업계는 공급의무자들의 RPS이행을 돕기 위한 꼼수일 뿐이라며 강하게 반발하고 있어 실제 신재생에너지원으로 지정되기까지 진통이 예상된다. 
특히 신재생에너지 보급촉진법 시행령 개정안에 대한 법제처의 심사가 진행되고 있는 가운데 이에 맞서 신재생에너지원 지정을 막기 위해 김제남 의원의 개정안발의도 진행돼 향후 결과에 이목이 집중된다.
정부는 RPS 이행수단 확보와 FTA 체결로 인한 농가 지원을 목적으로 화력발전소 온배수를 재생에너지로 지정하기 위해 지난 4월부터 6대 에너지신성장 산업 중 하나로 지정하고 물밑작업을 진행해 왔다. 이미 지난 8월 관련 시행령과 시행규칙에 대해 입법예고까지 마친 상태며 현재 법제처의 법안심사후 공포를 앞두고 있다. 
이에 대해 신재생에너지 업계와 정치권에서는 발전소온배수의 신재생에너지원 지정은 부당하다고 주장하고 있다.
특히 과거 발전소온배수가 신재생에너지원이 아니라고 산업부가 직접 밝혔음에도 발전소온배수 신재생에너지원 지정에 집중하는 것은 공급의무자를 위한 RPS 혜택말고는 다른 의도가 없다는 것이다. 
신재생업계의 관계자는 “발전소온배수는 발전소의 발전과정에서 발생한 폐열을 흡수하는 냉각수로 사용해 수온이 상승한 상태로 방출되는 배출수를 말하며 화석연료의 발전과정이 있어야만 발생하는 에너지기때문에 신재생에너지법에서 정의하고 있는 재생에너지의 전제규정인 ‘재생가능한 에너지를 변환시켜 이용하는 에너지’로 볼 수 없다”라며 “에너지자원을 재활용하는 측면에서 버려지는 온배수를 활용할 순 있지만 신재생에너지원으로 규정해 RPS 대상까지 포함시키는 것은 작정하고 공급의무자들의 이행요건 달성을 돕기위한 수단으로 꼼수를 부리는 것”이라고 비판했다. 
실제 지난 2012년 11월에 개최된 지식경제위원회 법률안심사소위에서 당시 조석 2차관은 법적 정의나 철학에 맞지 않고 국제적으로 인정되지 않고 있는 점을 들어 발전소온배수는 재생에너지가 아니라는 입장을 밝힌 바 있다.
■ 반대에도 산업부 ‘요지부동’
이같은 발전소온배수 신재생에너지원 지정을 막기 위한 시도가 최근 계속되고 있다.
국회 김제남 정의당 의원은 지난 12일 발전소온배수의 신재생에너지원 지정에 대한 불필요한 논란을 매듭짓기 위해 ‘신재생에너지 개발·이용·보급 촉진법 일부개정법률안’을 대표발의했다. 재생에너지의 정의에 ‘석유·석탄·원자력 또는 천연가스가 아닌 에너지로서’를 ‘석유·석탄·원자력·천연가스와 이를 연료로 해 발전할 때 생기는 온배수 등 부산물이 아닌 에너지로서’로 개정해 재생에너지의 정의를 보다 명확히 하려는 것이다.
현재 산업통상자원위원회 소위원회 통과를 위한 협의가 진행 중이며 산업부의 시행규칙이 국무회의를 통과해 공포하더라도 이 개정안이 상위법이기 때문에 통과 시 시행규칙도 다시 바꿔야 한다.
문제는 산업부의 발전소온배수 신재생에너지 지정을 의한 과정에서 관련된 업계의 의견수렴이나 합의가 부족한 채로 서둘러 추진한다는 부분이다. 에너지산업 성장과 관련된 규칙을 바꾸는 중요한 사항인데도 업계와 정치권에서 반발과 지적이 계속되도 관련된 협의없이 급하게 추진하려는 목적을 이해하기 어렵다는 것이다. 
김제남 의원실측은 “발전소온배수는 폐열로 그 원천이 온실가스를 배출하는 화석연료로 국제에너지기구(IEA)도 자연적인 현상으로 발생한 것이 아닌 인위적인 활동에 의한 폐열은 신재생에너지에서 빼고 있는 것이 사실”이라며 “산업부도 이런 사실을 알고 있음에도 신재생에너지원 지정을 고집하는 것은 그 목적이 신재생에너지원의 확대가 아닌 RPS 이행과정에서 과징금으로 어려움을 겪는 의무공급자들을 위한 ‘그들만의 지원’일 뿐인 만큼 반드시 저지할 것”이라고 강조했다. 
또한 “이번 보급촉진법에서 신재생에너지 지정을 막아버리면 산업부는 다시 법안을 고치고 대체방안을 만드는 등 이·삼중으로 업무를 하게 되는 것임에도 이번 보급촉진법 개정안 발의에 반응을 보이지 않는다”라며 “차라리 기존의 태양광, 풍력 확산방안에 이런 의지를 집중하면 더 좋을텐데 산업부가 구태여 발전소온배수를 고집하는 점이 이해가 되지 않으며 이는 새로운 사업수단을 창조해내라는 대통령의 압박에 못이긴 것 때문은 아닌지 의심스럽다”고 입장을 밝혔다.
■ 산업부 “신재생에너지 지정 문제없다”
업계와 일부 정치권의 움직임에도 산업부는 발전소온배수의 신재생에너지원 지정에 대한 고집을 꺾지 않을 눈치다. 특히 현재 법제처의 시행령 개정안 심사가 완료된 후 정식 공포가 된 이후 사업진행을 위한 물밑작업과 RPS 가중치 지정 등 세부적인 준비도 본격적으로 시작하겠다는 방침이다.
특히 산업부는 정부의 정책으로 결정된 발전수온배수 신재생에너지 지정을 의한 개정안이 국무회의를 거쳐 공포를 앞두고 있는 점에 주목할뿐 향후 이에 반대되는 김제남 의원의 개정안 입법발의가 통과될 경우 미치는 영향에 대해선 반응이 없는 상황이다.
또한 발전소온배수 지정이 의무공급자에게 혜택을 주는 사업이 아닌 농가소득 증대와 버려지는 에너지 활용이라는 측면에서 문제가 될 것이 없다는 입장이다. 더군다나 연구결과 1ha 규모 농가단지에 온배수를 공급할 시 2,250REC정도로 타 신재생에너지원의 위축을 불러오기 보단 발전소의 설비에 대한 비용지원 정도에만 그쳐 문제가 없다는 것이다.
산업부의 관계자는 “해당 온배수자체가 자연에서 자생된 것이 아니지만 온배수 활용시 확보할 수 있는 에너지를 순환해 에너지를 절감할 수 있다는 점을 보면 신재생에너지원으로 타당하다고 본다”라며 “발전소온배수 활용사업은 에너지절감뿐만 아니라 농가소득 증대에도 이바지 할 수 있는 사업모델로 이미 정부에서 주도해나가는 정책으로 확정돼 법제처 심사가 마무리되면 몇 차례의 국무회의 과정이 남아있지만 본격적인 가중치 지정 등 사업실행을 위한 연구를 예정대로 진행할 예정”이라고 설명했다.


저작권자 © 투데이에너지 무단전재 및 재배포 금지





송명규 기자
다른기사 보기 

"
