기사 제목,신문사,발행 날짜,본문 내용
"""시위대 발전소폭파 위협 공안이 공포 발사 진압""",세계일보,2005.12.11.,"
			중국 남부 광둥(廣東)성 산웨이(汕尾)시에서 지난 6일 벌어진 시위대에 대한 발포 사건의 전말이 공개됐다. 시위를 벌이던 농촌 주민 중 3명이 사망하고 11명이 중·경상을 한 이번 시위에서는 공안과 시위대 사이에 전쟁을 방불케 하는 충돌이 벌어졌던 것으로 확인됐다. 11일 중국 신화통신은 산웨이 시정부가 전날 발표한 이 사건의 전말을 전했다. 산웨이시 둥저우컹춘(東洲坑村) 주민들은 지난 6월부터 산웨이 화력발전소를 건설하는 데 수용된 토지에 대해 더 많은 보상을 해줄 것을 요구하며 농성 중이었다.  5일 정오 주민 수백명은 인근의 풍력발전소 주 건물을 포위한 채 격렬한 시위를 벌였다. 풍력발전소에서는 이로 인해 이날 오후 4시부터 7시간 동안 전기 공급을 중단하는 사태가 빚어졌다. 다음날인 6일 오후 3시, 주민 170여명은 황시쥔(黃希俊)의 주도로 칼과 쇠파이프, 목봉, 폭약, 화염병, 어포(고기 잡을 때 쓰는 폭약)로 무장한 채 풍력발전소에서 다시 시위를 벌였으며 풍력발전소 압력기가 폭파되기도 했다. 500명 가까이 늘어난 시위대는 풍력발전소로 통하는 길에 바리케이드를 설치해 다른 지역의 공안이 진입하는 것을 막았다. 진압대가 최루탄을 쏘며 이들을 해산하려 했지만 바람이 시위 진압대 쪽으로 불어 최루탄도 별 쓸모가 없었다. 황시쥔은 전날 체포된 주민 2명의 석방과 증파된 시위 진압대의 철수를 요구하며, 그러지 않으면 시위 진압대와 풍력발전소를 파괴할 것이라고 위협했다고 산웨이 시정부는 전했다. 이때는 이미 날이 저물어 어두워지고 있었다. 산웨이 시정부는 중국 공안이 극도로 혼란스런 상황에서 공포탄을 발사하며 해산에 들어갔고, 이 과정에서 황시쥔을 비롯한 3명이 숨지고 3명은 중상, 8명은 경상을 입었다고 밝혔다.   그러나 군대와 같은 역할을 하는 무장경찰 동원과 시위대에 대한 발포 명령 하달 여부는 밝히지 않았다. 산웨이 시정부는 이번 소요에 참가한 주민들에 대해서는 엄중하게 책임을 물을 것이라고 덧붙였다. 베이징=강호원 특파원 hkang@segye.com ⓒ 세계일보＆세계닷컴(www.segye.com), 무단전재 및 재배포 금지<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>
"
중국 시위주민 발포 파장 확산,한겨레,2005.12.12.,"
중국 광둥성 산웨이시에서 벌어진 시위 주민에 대한 경찰의 발포 사건 파장이 이어지고 있다. 1989년 천안문 사태 이후 보기 드물게 지식인들이 나서 항의성명을 발표했으며, 홍콩 언론들은 연일 사설을 통해 중국 당국을 비난하고 나섰다.
 딩쯔린 베이징대 교수 등 지식인 14명은 10일 ‘광둥 산웨이시 둥저우 유혈참사에 관한 성명’에서  “이번 일은 국가 통치권 행사의 합법성이 전면 붕괴됐음을 보여준 사건”이라며 이 사건에 대한 철저한 조사와 엄중한 처벌 등을 요구했다. 홍콩 <명보>는 12일 사설을 통해 “사건의 근본 원인인 주민 생존권을 외면한 개발 지상주의와 부패 관리 척결이 시급하다”고 주장했다. 중국 당국은 11일 산웨이 시위대 발포 명령 책임자를 구속했다고 중국 관영 <신화통신>이 12일 보도했다.
 둥저우컹촌 사건은 2002년 산웨이시가 풍력발전소 건설을 위해 농지를 징발한 뒤 적절한 보상을 하지 않은 데서 비롯했다. 주민들은 보상에 불만을 품고 지난 9월 발전소를 점거했으며, 지난 5일 당국은 발전소에 진입해 이들을 해산시키는 과정에서 실탄을 발사해 최소한 3명이 숨지고 8명이 중상을 입었다. 주민들은 20여명이 사망했다고 주장한다.
베이징/이상수 특파원 leess@hani.co.kr

"
광둥성 시위 폭력 진압 공무원 출국 금지,헤럴드POP,2005.12.09.,"
			지난 6일 중국 광둥(廣東)성 산웨이(汕尾)시 둥저우(東洲)  마을에서 무장경찰의 발포로 10여 명의 사상자가 발생하면서 국제사회의 관심이 커지고 있다. 이에따라 중국 당국이 이번 사건에 연루된 공무원의 출국을 금지하는 등 본격적인 조사가 시작됐다고 홍콩 밍바오(明報)가 9일 보도했다.이 신문은 소식통을 인용, 광둥 성 성위원회와 공안청이 이미 사건 조사에 착수했으며 관련 공무원의 여권을 회수해 해외로 도주하지 못하도록 했다고 전했다.이 사건에 국제적 관심이 쏠리고 있는 것과 달리 중국 언론과 정부기관은 함구로 일관하고 있다. 친강(秦剛) 중국 외교부 대변인은 8일 외교부 정례브리핑에서 “아직 구체적 상황을 파악하지 못했다”며 언급을 회피하면서 “중국은 법치국가이므로 법에 따라 처리할 것이다”고 밝혔다.워싱턴 포스트에 따르면 발전소 건설에 따른 충분한 보상을 요구하며 시위하던 마을 주민들에게 무장경찰이 실탄을 발포, 10~20명이 숨지고 수십명이 부상당하고 체포됐다. 이 시위는 주민 3000여명이 마을 부근 풍력발전소 건설현장에서 경찰에 체포된 마을 대표 3명의 석방을 요구하며 비롯됐다.밍바오는 현재 마을이 무장경찰에 의해 봉쇄됐으며 주민들은 경찰에 체포될 것이 두려워 집 밖으로 나오지 않는다고 전했다. 경찰은  차량과 사람들의 출입을 통제하고 있으며 취재진들의 방문도 허용치 않고 있다.당시 무장경찰의 발포는 시위대가 먼저 대치중인 무장경찰이나 발전소에 화염병을 던지면서 촉발됐으며 이로인해 경찰 한명도 중상을 입은 것으로 전해졌다.한 주민은 “어제 새벽에 길거리변에서 한 주민의 사체가 발견됐는데 가족들이 감히 사체수습도 하지못할 정도로 분위기가 살벌하다”고 말했다 일각에서는 이번 사태가 ‘6·4 톈안먼(天安門) 사건’처럼 확대되지 않을까 우려하고 있다.한희라 기자(hanira@heraldm.com)- `헤럴드 생생뉴스` Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 - 
"
중국 광둥성에서 '제2의 톈안먼 사건',프레시안,2005.12.12.,"
			
[프레시안 황준호/기자] 광둥성 무장경찰이 시위대에 발포한 사실을 중국 정부가 4일만에 시인했음에도 불구하고 인명피해 규모 은폐 의혹이 계속 제기되고 있다. 서방 언론들은 이번 사건을 두고 1989년 '톈안먼(天安門) 사태' 이후 최악이라고 전하며 최소 20명이 사망했다는 주민들의 증언을 보도하고 있다.    중국 당국, 발포는 시인했으나 총상 사망은 언급 회피    중국 관영 〈신화통신〉은 지난 10일와 11일 발전소 건설을 위해 수용된 토지에 대한 배상에 불만을 품고 시위를 벌인 사람들에게 경찰이 발포해 사망 3명 등 사상자가 다수 발생했고, 현재 이에 대한 조사가 당 중앙 차원에서 면밀히 이뤄지고 있다고 보도했다.    〈신화통신〉은 ""광둥성 산웨이(汕尾)시 둥저우(東洲) 마을 주민 500여 명이 지난 6일 선동자들의 부추김을 받아 이날 낮 체포된 주민 2명의 석방을 요구하는 시위를 벌이며 풍력발전소를 공격하려고 시도했다""며 ""이들은 도로 곳곳에 바리케이드를 치고 경찰들을 향해 다이너마이트 화약, 화염병 등을 던졌다. 경찰은 이들의 시위를 불법행위로 규정하고 질서 유지를 위해 최루탄을 투척하고 실탄을 발사했다""고 전했다.    통신은 그러나 ""발포 사건은 무장경찰이 경고사격을 하는 과정에서 발생했다""면서도 사망자들이 총상에 의해 희생됐는지에 대해서는 구체적인 언급을 하지 않았다.    부상자도 체포 두려워 집에 숨어 있어    하지만 이 지역 〈광저우일보〉는 사망자가 무장경찰의 발포에 의해 발생한 것이 확실하다며, 현지 공안당국이 발포를 명령한 현장 지휘관을 전격 체포했다고 보도했다.    홍콩 신문인 〈등팡일보〉는 현지 소식통의 말을 인용해 실제 희생자가 20여 명에 이른다고 전하면서, 경찰이 맹수에 가까운 개를 풀어놓는 등 과도한 진압작전을 폈다고 전했다. 또 〈사우스차이나모닝포스트〉는 ""정부측이 사실을 은폐하기 위해 시신수습을 포기하는 대가로 피해가족들에게 돈을 지불하려 했다""고 폭로하기도 했다.    서방 언론들도 일제히 이 사건을 주요 뉴스로 다루면서 주민들의 증언을 토대로 최소 20명 이상의 사망자가 발생했다고 보도했다.    〈로이터〉 통신은 주민 2명의 말을 인용해 시위대 5명이 사망했고, 많은 사람들이 다쳤지만 병원에 가는 것을 두려워하며 집에 숨어있다고 12일 보도했다. 다른 주민은 마을에 여전히 20여 명의 실종자가 있다고 말했다.    〈로이터〉는 이 마을의 현재 상황이 여전히 '카오스'로 묘사하고, 이 사건은 중국에서 1989년 톈안먼 사태 이후 최초로 시위대를 향해 발포한 사건이라는 엠네스티의 발표를 전했다.    〈AP〉 통신도 11일 ""경찰이 시위 진압을 위해 최루탄과 곤봉을 사용하는 경우는 흔하지만 발포는 극히 이례적인 것""이라며 ""6일 오후 6시부터 12시간 동안 총소리가 계속 들렸다""고 전했다.    〈뉴욕타임스〉는 10일 20명이 사망하고 최소 42명이 행방불명됐다는 마을 주민들의 증언을 전했다. 이 신문은 ""6일 오후 8시부터 땅을 향해 총을 쐈지만, 오후 10시부터는 아예 주민들을 죽이기 시작했다""고 전했다.    주민들은 지난해 4월부터 마을 부근에 발전소 건설공사를 위해 정부측이 강제로 토지를 수용한 후 현실적인 수준의 보상비 지급 약속을 어기고 가구 당 3달러 밖에 지급하지 않았다며 집단행동을 벌여왔다. 이들은 또 정부가 풍력발전소를 건설한다고 하면서 실제로는 화력발전소를 짓고 있다며, 그에 따른 오염방지 대책 등을 요구해왔다.황준호/기자- Copyrights ©PRESSian.com 무단전재 및 재배포금지 -
		"
부안지역 햇빛발전소 3곳 준공,연합뉴스,2005.10.22.,"




부안 '햇빛발전소 준공' 기념식(부안=연합뉴스) 권수현 기자 = 전북 부안군 부안읍 천주교 부안성당과 원불교 부안교당, 부안군 하서면 `생명평화마중물' 등 3곳에 태양광을 이용하는 햇빛발전소가 건설됐다.    부안 핵폐기장 건립 반대측 주민과 환경단체 회원들로 구성된 `부안 시민발전소'는 22일 부안성당에서 환경단체 회원과 주민 등 100여명이 참석한 가운데 `부안햇빛 시민발전소' 준공식을 갖고 본격 가동에 들어갔다.    부안군민이 모금한 7천500여만원으로 건립된 이들 발전소에서는 연간 1만800㎾h의 전기를 생산한 후 전량 한국전력공사에 판매해 750만원씩의 수입을 올릴  예정이다.    부안 시민발전소는 또 조만간 변산면 운산리 대안교육 공동체에  4호 발전소를 건립하기로 하는 등 연차적으로 부안지역 학교와 병원, 교회, 사찰 등에 햇빛발전소를 건립할 예정이다.    이번 햇빛발전소 건립은 원전센터 건립을 반대해 온 부안 주민과 환경단체가 핵 에너지가 아닌 햇빛으로도 전력을 생산할 수 있다는 것을 보여주기 위해 추진한  반핵운동의 하나다.    부안 주민들은 이날 준공식에서 시민발전소의 번창을 기원하는 고사를 지낸 데 이어 노래패 공연과 일본 동경시장이 시내에 핵발전소 건립을 추진한다는 가상 상황을 둘러싸고 발생한 해프닝을 그린 일본 영화 `동경 핵발전소'를 상영하기도 했다.     부안 시민발전소 관계자는 ""부안 원전센터 유치 반대 투쟁 과정에서 핵 에너지 외에 대안 에너지의 필요성을 절감, 햇빛발전소를 건립하게 됐다""며 ""앞으로도 햇빛발전 외에 풍력이나 음식물쓰레기 분해 열을 이용한 발전 등 다양한 대안 에너지 이용방안을 연구할 계획""이라고 말했다.    부안지역 주민과 환경단체는 2003년 김종규 부안군수가 원전센터를 부안으로 유치하려고 하자 강력 반발, 시위를 벌이는 과정에서 수백명이 부상하는 등 피해를 보았다.      inishmore@yna.co.kr(끝)<저 작 권 자(c)연 합 뉴 스.  무 단  전 재-재 배 포  금 지.>
"
中 경찰 발포 시위대 2명 사망,매일경제,2005.12.08.,"
			   중국 인민해방군 산하 무장경찰부대가 5일 저녁 남부 광둥(廣東)성 산웨이시 둥저   우 마을에서 풍력발전소 건설과 관련된 토지보상 문제로 시위하는 마을주민에게 발   포해 최소한 2명이 숨졌다고 일본 교도통신이 7일 보도했다.   교도통신은 현장을 목격한 주민들의 말을 인용해 이번 발포 사건이 5일 저녁 무장   경찰 수백명이 시위중인 주민들을 해산시키기 위해 마을에 파견된 뒤 일어났다고   밝혔다.   이들은 이번 사건으로 2명은 6일 마을 현지병원에서 사망하고, 2명은 시내 중심부   소재 병원으로 옮겨졌으나 중태라고 말했다.   그러나 일부 목격자는 발포로 인한 사망자가 4명에 달하며 발포 총상으로 부상자도   속출하고 있다고 전했다.   목격자들은 풍력발전소 건설에 반대하는 시위자 수십명이 5일 오후 발전소 건설현   장에 모여 반대 시위를 벌였으며 이들 가운데 3명이 경찰에 의해 연행됐다고 전했   다.   이에 반발하는 둥저우 주민 수천명이 5일 저녁 발전소 현장에 모여 연행자 석방을   요구하는 시위를 벌였으며 이에 대해 중국 무장경찰부대는 최루탄을 발사했다.   이에 대해 시위대가 경찰이 시위 현장에 진입하지 못하도록 쇠파이프와 석유통 등   으로 현장을 에워싸자 경찰이 이들을 진압하기 위해 발포했다고 교도통신은 전했다   .   경찰은 또한 시위대가 설치한 봉쇄망을 뚫고 시위대가 현장에 설치한 임시 텐트를   철거해 시위를 종료시켰다.   익명을 요구한 한 주민은 이번 사건이 토지 분쟁 때문에 일어났으며 보상 문제가   그 중 하나라고 말했다.   자유아시아방송(RFA) 보도에 따르면 마을 주민들은 발전소 건설에 대한 정부의 정   당한 보상을 요구해왔으나 정부가 이를 받아들이지 않았으며, 이로 인해 지난 수개   월간 긴장이 고조돼왔다.   교도통신은 토지보상에 따른 주민간의 시위가 최근 빈발하고 있지만 이번 사태처럼   발포사건으로 이어지는 것은 극히 드문 일이라고 설명했다. 그러나 이번 발포 사태   가 경찰이 시위대를 향해 직접 발사한 것인지 아니면 사태 진압과정에서 발사한 총   에 주민이 잘못 맞은 것인지는 아직 분명하지 않다.   한편 중국 허베이(河北)성 한 광산에서 7일 오후 가스가 폭발, 최소한 54명이 사망   하고 22명이 실종됐다고 중국 신화통신이 보도했다.   신화통신에 따르면 사고는 이날 오후 4시 10분께 허베이성 탕산(唐山)시 카이핑(開   平)구 류관둔(劉官屯)탄광에서 발생했으며 사고 당시 갱 안에는 123명의 광원이 있   었다.   [김민구 기자]< Copyright ⓒ 매일경제. 무단전재 및 재배포 금지 >
"
[취재노트] '토지기득권'에 목숨거는 중국인,매일경제,2005.12.23.,"
			   중국 광둥(廣東)성 산웨이(汕尾)시에서 최근 경찰 발포로 시위대 다수가 사망   하는 사건이 발생했다. 중국 당국이 현장을 철저히 봉쇄한 가운데 외신들은 ""   최대 20명까지 사망한 것으로 보인다""고 타전하고 있다.   지난 1989년 발생한 톈안먼(天安門)사태를 떠올리게 하는 사건이다. 외신들도   ""톈안먼사태 이후 최악의 중국경찰 발포사건""이라는 해석을 덧붙이고 있다.   그러나 톈안먼사태를 상기하게 만드는 이 발포사건의 이면에는 또하나 놀랄 만   한 사실이 담겨 있다. 시위의 발단이 토지수용과 보상 때문이라는 것이다. 모   든 토지를 소유하고 있는 공산주의 국가가 풍력발전소를 건설하기 위해 토지를   수용하려 했다. 그런데 사용권만 지닌 주민들이 칼, 창, 폭약으로 무장하고 사   생결단식으로 막아섰다니 어찌 놀라운 일이 아닌가.   지난 1989년의 톈안먼사태는 본질적으로 정치사건이었다. 학생들로부터 추앙을   받던 개혁주의자 후야오방(胡耀邦) 전 당총서기가 사망하자 이를 계기로 정치   개혁을 요구하는 목소리가 봇물터지듯 쏟아져 나왔고 이를 무력으로 막은 사건   이다.   그러나 이번 경찰 발포사건의 본질은 '생존권 투쟁', 즉 경제사건이다.   물론 토지에 대한 중국인의 애착은 남다른 데가 있다.   지난 1970년 박정희 정권도 이런 중국인의 속성을 간파하고 외국인은 국내에서   50평 이상의 점포와 200평 이상의 땅을 소유하지 못하도록 제한했다. 국내 화   교를 겨냥한 제한이었음은 말할 나위도 없다.   차이나타운이 전세계에 뿌리내리고 있음에도 유독 국내에서 차이나타운이 발전   하지 못한 것은 바로 이때 수많은 화교들이 한국을 등졌기 때문이다. 만약 박   정희 정권이 이러한 토지소유 억제정책을 내놓지 않았다면 지금쯤 서울 강남의   한 복판에 자장면 판 돈으로 건설한 거대한 차이나타운이 들어서 있을지도 모   를 일이다.   토지에 대한 중국인의 애착을 감안해도 공산주의 국가에서라면 사정은 좀 다르   다.   일찍이 마르크스는 절대지대론과 차액지대론을 내세워 토지소유로 인한 잉여생   산물 착취를 설명하고 공산주의 이론의 기초를 다졌다. 모든 공산주의 국가가   토지국유화를 체제의 근간으로 신봉해온 것도 이 때문이다. 중국에는 아직 공   산당이 건재하다. 톈안먼광장 옆 기념관에 안치돼 있는 '공산혁명의 아버지'   마오쩌뚱(毛澤東) 시신도 줄을 길게 늘어서야만 바라볼 수 있을 정도다.   그러나 눈을 조금만 돌리면 또다른 세상을 볼 수 있다.   마오쩌뚱과 덩샤오핑(鄧小平)은 1세대 혁명동지로 당초 사상의 출발점이 같았   다. 그러나 무려 2000만명이 사망한 1959~1961년 중국 대기근 이후 두 사람이   지향하는 사회발전 방식은 천양지차로 갈라졌다. 1962년 흑묘백묘(黑猫白猫)론   을 내세우며 실용주의로 돌아선 덩샤오핑이 마오쩌뚱 생전에 모진 핍박을 받았   음은 물론이다.   마오쩌뚱 사후 드라마틱하게 권좌에 오른 덩샤오핑. 그가 1979년 12월 개혁ㆍ   개방을 기치로 내건 이래 어느덧 26년이 흘렀고 '덩샤오핑의 중국'은 전혀 다   른 나라로 변모했다.   2001년 9월 중화인민공화국 탄생의 주역이자 중국 국가주석까지 지낸 한 거물   정치인이 관영언론의 외면 속에 공산당에 탈당계를 제출했다. ""마오쩌뚱이 생   전에 내린 결정을 그대로 지키고 따라야 한다""고 역설하던 마오쩌뚱의 후계자   화궈펑(華國鋒)이다. 탈당의 변을 듣기 위해 소집된 특별회의에서 그는 후진타   오 당시 부주석도 지켜보는 가운데 회한에 잠긴 목소리로 이런 통렬한 비판을   쏟아냈다. ""현재의 중국 공산당이 과거 국민당이나 자산계급과 무엇이 다른가""   하고. 그리고는 의료혜택에서 소외된 가난한 당원들을 위해 써달라며 5만위안   의 '마지막 당비'를 내놓고 쓸쓸히 공산당을 떠났다.   지금 중국에 공산당 간판은 그대로이지만 이미 공산주의는 사라진 지 오래인   것으로 보인다. 그것을 잘 아는 중국인들이 목숨을 걸고 토지기득권 지키기에   나선 것은 어찌 보면 당연해 보인다.   '토지사용 기득권'이 '토지소유권'으로 슬며시 바뀔 날도 머지않아 보인다.   [국제부 = 최경선 차장 choiks@mk.co.kr]< Copyright ⓒ 매일경제. 무단전재 및 재배포 금지 >
"
"중국 산웨이시, 경찰의 시위대 발포 시인",연합뉴스,2005.12.11.,"
			""혼란상황..사망3명, 중.경상11명"" 주장    (베이징=연합뉴스) 이돈관 특파원 = 중국 광둥(廣東)성 산웨이(汕尾)시  정부는 10일, 지난 6일 발생한 인민무장경찰의 시위대 발포사건으로 인해 인명피해가  났음을 시인했다.    산웨이시는 이날 발표한 조사보고서를 통해, 당시 날이 어두워진  데다  현장이 매우 혼란스러운 상황에서 경찰이 경고를 위해 총을 쏜 것이 잘못돼 사망 3명, 중상자 3명을 포함한 부상자 11명의 오사(誤死).오상(誤傷)사건이 발생했다고 해명했다.    이 보고서는 아주 긴박한 상황에서 경고사격을 한 것이지만 오사.오상사건이 발생한 것은 현장의 경찰 지휘관이 적절한 조치를 취했다고 볼 수 없어 산웨이시 검찰이 이 지휘관을 체포했으며 현재 사망자의 정확한 사인을 조사중이라고 말했다.    앞서 홍콩의 중국어 신문인 명보(明報) 등은 발포 당시 시위자 3명이 사망하고, 수십명의 부상자 가운데서 5명이 더 사망해 사망자가 8명에 이르며 10여명은 실종상태라고 보도한 바 있다. AFP는 4명이 사망하고 수십명이 총상을 입었다고 전했다.    신화통신 등 중국 언론이 전한 산웨이시 정부의 보고서는 산웨이시 홍하이완(紅海灣)구 둥저우컹(東洲坑) 마을과 스궁자이(施公寨) 마을의 주민들이 몇몇 선동자들의 부추김을 받아 무장 시위를 벌였다면서 그 불법성을 부각시켰다.    이 보고서는 수백명의 주민이 선동자들의 부추김을 받아 장도(長刀), 쇠창,  목제 곤봉, 다이나마이트 화약, 화염병, 고기잡이용 폭발물 등으로 무장하고   풍력발전소와 경찰을 공격한 행위는 법률을 심각하게 위반한 사건이라고 강조했다.    보고서에 따르면, 황시쥔(黃希俊) 등 선동자들은 둥저우컹 마을과  스궁자이(施公寨)마을의 일부 주민들을 선동해 시위대를 조직한 다음 지난 5일 낮 처음으로  풍력발전소를 포위, 공격해 7시간 동안 발전을 중단시켰으며 6일에도 170명 이상의 주민이 무장한 채 기습 공격을 계속했다.    경찰은 질서 유지를 위해 최루탄을 투척하면서 시위대에 뚫고 들어가 시위자  2명을 체포했으나 황시쥔 등이 다시 300여명의 주민을 동원, 이들을 풀어주라고 요구하며 길을 막고 풍력발전소를 폭파하겠다고 위협했다는 것이다.    보고서는 선동자들이 둥저우컹 마을 부근에 건설되는 대형 산웨이화력발전소 부지용으로 수용되는 토지의 보상문제에 대해 주민들이 불만을 표시하고 있음을  기화로 지난 6월부터 주민들에게 무장시위를 선동, 그동안 무리한 요구를  하며  갖가지 불법 시위를 벌여왔다고 주장했다.    don@yna.co.kr (끝)<저 작 권 자(c)연 합 뉴 스.  무 단  전 재-재 배 포  금 지.>
"
"중국 무장경찰, 시위대 1천여명에 발포…수십명 사상",세계일보,2005.12.07.,"




중국 인민해방군 산하 무장경찰 부대가 6일 오후 남부 광둥(廣東)성 산웨이시 둥저우 마을에서 발전소 건설에 반대하며 시위를 벌이던 마을 주민 1000여명에 발포, 4명이 숨지고 수십명이 다쳤다고 AFP통신이 7일 보도했다. 무장경찰 수백명이 주민들에게 해산을 요구했으나 불응하자 총을 쐈으며 2명은 마을 병원에서, 다른 2명은 시내 중심부 병원으로 옮겨졌으나 숨졌다고 AFP통신이 전했다. 마을 주민들은 지난 9월 풍력발전소 공사가 시작돼 토지 상당부분이 수용당했고, 발전소가 들어서면 근처 호수에서 고기잡이를 못해 생계가 어려워진다며 정부에 보상을 요구해 왔다. 미국 자유아시아방송(RFA) 보도에 따르면 마을 주민들은 발전소 건설에 따른 정당한 보상을 정부에 요구해 왔으나 받아들여지지 않아 지난 수개월 동안 긴장이 고조돼 왔다. 이진경 기자 ljin@segye.comⓒ 세계일보＆세계닷컴(www.segye.com), 무단전재 및 재배포 금지<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>
"
中광둥성 유혈진압 ‘제2톈안먼’ 비화 조짐,경향신문,2005.12.12.,"

중국 정부의 광둥(廣東)성 시위대에 대한 발포 사태가 제 2의 톈안먼(天安門) 사태로 번질 조짐을 보이고 있다. 

AFP 통신 등 서구 언론들은 12일 중국 시위대에 대한 발포로 최대 30여명이 숨진 것으로 보인다고 보도했다. 이는 전날 광둥성 정부가 인정한 사망자 3명과는 큰 차이가 나는 것이다. 

외신들은 광둥성 샨웨이(汕尾)시 둥저우(東州) 지역 주민들의 말을 인용해 이같이 보도하며 이번 무력 진압으로 인한 사상자가 1989년 톈안먼 사태 이후 최악의 유혈 무력진압으로 기록될 것이라고 전했다. 

헤이룽장성 벤젠 오염 사태에 이어 중국 정부가 또 다시 사태를 은폐하려고 시도하지 않았느냐 하는 의혹이 제기되고 있다. 

중국 정부는 이같은 국내·외 비난 여론을 의식한 듯 아주 이례적으로 사건 발생 5일 만인 지난 11일 신속히 발포 사실을 시인하고 경찰 현장 지휘책임자 1명을 체포해 특별 조사를 벌이고 있다. 

체포된 경찰의 신원과 정확한 발포 경위 등은 알려지지 않았으며 중국 정부는 이 책임자의 ‘부적절한 조치’로 인해 사망자가 발생했다고만 발표했다. 

정부는 이날 시위 발생 마을 입구에 “법을 지키는 것은 인민의 의무이자 책임” “인민정부는 항상 둥저우 마을 인민들을 지지할 것” 등의 현수막을 걸어놓고 민심 달래기에 애썼다. 

정부는 비난 여론을 무마하는 동시에 집안 단속도 철저히 하고 있다. AFP 통신에 따르면 광둥성 정부는 샨웨이시 지역의 출입을 통제하는 가운데 시위 주동자 9명을 체포했다. 

통신은 2,000~3,000명의 인민 무장경찰이 24시간 도시를 에워싼 채 시위에 적극 가담한 140여명 정도를 쫓고 있어 많은 지역민이 불안에 떨고 있다고 전했다. 

경찰의 무력 진압 후 폭력 사태가 더이상 이어지지는 않았지만 11일에도 거리에서 경찰과 언쟁을 벌이는 주민들이 목격됐다고 BBC가 전했다. 

둥저우 주민들은 지난해 4월부터 마을 부근에 풍력, 조력, 화력 발전소 건설 공사를 위해 지방 정부가 강제로 토지를 수용한 뒤 현실적인 수준의 보상비 지급 약속을 어기고 가구당 3달러밖에 지급하지 않자 집단행동을 벌여왔다. 

중국 농촌 지역에서는 정부의 부패행위, 환경오염, 토지 수용 등에 항의하는 시위가 자주 발생해 지난해에만 전국에 7만여건의 시위가 벌어졌다. 

대부분 중국 내 농촌 시위는 당국의 철저한 언론 통제로 거의 외부에 알려지지 않지만 광둥성 지역은 개방된 홍콩에 지리적으로 가까워 뉴스가 빨리 퍼질 수 있었다. 
 

 
〈손제민기자 jeje17@kyunghyang.com〉 
"
